Sample,X,Y,Z
0,0.020,0.215,1.047
1,0.020,-0.039,1.043
2,0.016,-0.039,1.039
3,0.027,-0.043,1.039
4,0.023,-0.039,1.035
5,0.012,-0.039,1.039
6,0.020,-0.047,1.039
7,0.031,-0.043,1.039
8,0.023,-0.035,1.035
9,0.020,-0.031,1.039
10,0.020,-0.027,1.035
11,0.020,-0.031,1.027
12,0.020,-0.039,1.047
13,0.023,-0.047,1.047
14,0.023,-0.031,1.031
15,0.020,-0.039,1.043
16,0.020,-0.047,1.047
17,0.020,-0.043,1.039
18,0.031,-0.043,1.031
19,0.031,-0.039,1.031
20,0.023,-0.027,1.035
21,0.012,-0.043,1.031
22,0.020,-0.035,1.031
23,0.027,-0.031,1.047
24,0.023,-0.039,1.016
25,0.008,-0.035,1.086
26,0.012,-0.039,1.086
27,-0.020,-0.047,1.039
28,0.047,-0.039,1.117
29,0.023,-0.035,0.961
30,0.027,-0.047,1.008
31,0.027,-0.031,1.043
32,0.016,-0.039,1.051
33,0.008,-0.035,1.039
34,0.020,-0.039,1.039
35,0.020,-0.035,1.039
36,0.020,-0.035,1.039
37,0.016,-0.039,1.047
38,0.023,-0.039,1.027
39,0.027,-0.039,1.051
40,0.020,-0.039,1.023
41,0.020,-0.039,1.039
42,0.023,-0.043,1.035
43,0.020,-0.027,1.047
44,0.020,-0.031,1.043
45,0.031,-0.047,1.027
46,0.020,-0.039,1.035
47,0.016,-0.039,1.051
48,-0.016,-0.043,1.125
49,0.031,-0.023,1.062
50,0.008,-0.043,1.086
51,-0.027,-0.043,0.969
52,0.043,-0.047,1.070
53,0.035,-0.039,1.031
54,0.023,-0.043,1.039
55,0.016,-0.027,1.043
56,0.020,-0.035,1.043
57,0.020,-0.043,1.027
58,0.023,-0.039,1.047
59,0.012,-0.031,1.039
60,0.020,-0.047,1.031
61,0.027,-0.047,1.043
62,0.020,-0.039,1.043
63,0.020,-0.035,1.043
64,0.023,-0.039,1.031
65,0.016,-0.035,1.039
66,0.016,-0.023,1.039
67,0.023,-0.035,1.035
68,0.027,-0.043,1.027
69,0.012,-0.031,1.031
