Sample,X,Y,Z
215,0.418,-0.184,1.273
216,0.023,0.023,0.703
217,-0.234,-0.324,1.383
218,-0.047,-0.359,1.723
219,0.227,-0.117,0.930
220,0.059,-0.051,0.664
221,-0.512,-0.188,0.930
222,-0.289,-0.035,1.117
223,0.199,0.066,0.836
224,0.105,-0.043,0.754
225,-0.379,-0.031,0.992
226,-0.223,0.105,1.176
227,0.207,0.086,1.035
228,0.258,-0.090,1.008
229,-0.020,-0.012,1.375
230,0.074,0.293,0.910
231,0.348,0.125,0.926
232,0.277,-0.238,1.297
233,0.086,-0.020,1.152
234,0.109,0.281,0.816
235,0.098,0.266,0.637
236,-0.078,-0.301,1.164
237,-0.066,-0.152,1.176
238,0.117,0.195,0.754
239,0.184,0.105,0.566
240,-0.020,-0.504,1.344
241,-0.074,-0.367,1.512
242,0.293,0.117,1.059
243,0.156,0.000,0.738
244,-0.195,-0.434,1.156
245,-0.199,-0.344,1.395
246,0.141,0.102,0.848
247,0.008,0.219,0.492
248,-0.398,-0.277,1.094
249,-0.316,-0.387,1.418
250,0.109,0.109,1.121
251,0.184,0.371,0.656
252,-0.219,-0.141,0.965
253,-0.375,-0.270,1.473
254,0.012,0.320,1.145
255,0.461,0.520,0.566
256,-0.023,0.004,0.914
257,-0.336,-0.316,1.660
258,0.051,0.121,1.312
259,0.426,0.297,0.664
260,0.164,-0.082,0.859
261,-0.293,-0.309,1.254
262,0.086,-0.070,1.242
263,0.387,0.184,0.727
264,0.391,-0.027,0.781
265,-0.184,-0.258,0.949
266,-0.105,-0.254,0.973
267,0.328,-0.070,0.992
268,0.398,0.051,0.793
269,-0.109,-0.180,0.992
270,-0.160,-0.406,1.527
271,0.320,-0.148,1.285
272,0.359,0.047,0.863
273,-0.148,-0.156,0.906
274,-0.379,-0.262,1.516
275,0.004,0.074,1.199
276,0.172,0.230,0.586
277,-0.207,0.051,0.570
278,-0.453,-0.094,1.426
279,-0.141,0.109,1.285
280,0.020,0.266,0.570
281,-0.141,0.016,0.785
282,-0.359,-0.234,1.660
283,-0.164,0.141,1.340
284,0.344,0.223,0.785
285,0.215,-0.066,0.758
286,-0.066,-0.281,1.566
287,0.008,0.012,1.332
288,0.215,0.188,0.445
289,0.168,0.055,0.594
290,0.012,-0.336,1.363
291,0.062,-0.246,1.277
292,0.273,-0.070,0.758
293,0.207,0.051,0.387
294,0.238,-0.176,1.375
295,0.051,-0.203,1.512
296,0.184,0.023,0.711
297,0.488,-0.020,0.695
298,0.227,-0.129,1.254
299,-0.148,-0.109,1.496
300,-0.098,-0.102,1.109
301,0.160,-0.086,0.719
302,-0.113,0.039,1.000
303,-0.395,-0.020,1.125
304,-0.188,-0.062,0.953
305,0.137,-0.059,0.672
306,-0.137,0.012,1.148
307,-0.430,0.059,1.426
308,-0.160,0.016,1.055
309,0.176,-0.012,0.641
310,0.047,-0.062,1.273
311,-0.309,0.191,1.305
312,0.004,-0.105,1.254
313,0.180,-0.070,0.691
314,-0.043,-0.129,1.082
315,-0.250,0.129,1.164
316,0.188,0.051,0.938
317,0.422,-0.062,0.605
318,0.055,-0.160,0.875
319,-0.180,-0.055,1.168
320,0.207,-0.043,1.027
321,0.570,-0.070,0.867
322,0.020,-0.102,0.930
323,-0.047,-0.168,1.371
324,0.438,-0.168,1.469
325,0.492,0.066,0.836
326,-0.086,0.004,0.957
327,-0.109,-0.234,1.500
328,0.145,-0.078,1.039
329,0.047,0.102,0.504
330,-0.090,0.105,0.730
331,-0.055,-0.207,1.383
332,-0.121,0.062,0.766
333,-0.086,0.152,0.555
334,-0.039,-0.102,1.258
335,-0.188,-0.098,1.305
336,-0.168,0.141,0.867
337,0.082,0.109,1.020
338,-0.133,0.000,1.184
339,-0.391,-0.223,1.570
340,-0.109,-0.016,1.184
341,0.070,0.012,0.910
342,-0.016,-0.066,1.254
343,-0.246,-0.051,0.957
344,-0.082,-0.188,0.918
345,0.055,-0.078,0.840
346,0.277,-0.145,1.316
347,0.285,0.031,0.746
348,0.062,-0.184,0.953
349,0.035,-0.098,0.902
350,0.406,-0.047,1.105
351,0.262,0.062,0.691
352,0.086,-0.016,0.918
353,0.133,-0.113,1.324
354,0.309,0.000,1.207
355,0.281,0.020,0.836
356,0.059,-0.031,1.078
357,0.008,-0.109,1.398
358,-0.070,0.211,0.703
359,0.051,0.000,0.867
360,0.047,-0.105,1.305
361,-0.176,-0.082,1.359
362,-0.184,0.145,0.691
363,-0.020,-0.074,1.129
364,-0.168,-0.148,1.391
365,-0.410,-0.004,0.996
366,-0.273,-0.004,0.867
367,-0.031,-0.012,1.027
368,0.023,-0.168,1.230
369,-0.234,-0.012,0.852
370,-0.168,0.070,0.641
371,0.301,-0.156,1.105
372,0.301,-0.164,1.297
373,-0.062,0.047,0.723
374,-0.062,-0.062,0.883
375,0.387,-0.230,1.492
376,0.438,-0.094,1.281
377,-0.090,0.055,0.812
378,0.027,0.109,0.844
379,0.520,-0.227,1.496
380,0.336,-0.043,1.156
381,-0.309,0.145,0.664
382,-0.172,-0.023,1.070
383,0.457,-0.109,1.109
384,0.195,-0.117,1.086
385,-0.414,0.188,0.551
386,-0.348,0.035,0.746
387,0.312,-0.207,1.293
388,0.152,-0.125,1.098
389,-0.445,0.059,0.809
390,-0.199,0.066,0.891
391,0.137,-0.180,1.543
392,0.105,0.012,1.250
393,-0.297,0.145,0.789
394,-0.270,0.000,1.180
395,0.062,-0.137,1.391
396,0.094,-0.082,1.160
397,-0.105,0.055,0.742
398,-0.137,-0.023,0.801
399,0.098,-0.078,1.199
400,0.238,-0.105,1.004
401,0.070,-0.125,0.824
402,-0.176,-0.082,0.906
403,0.160,-0.047,1.152
404,0.363,-0.039,0.777
405,-0.125,-0.027,0.770
406,-0.066,-0.117,1.289
407,0.457,-0.078,1.379
408,0.324,0.035,0.871
409,-0.133,0.000,0.926
410,-0.137,-0.211,1.656
411,0.316,-0.020,1.078
412,0.234,0.113,0.945
413,-0.090,-0.070,1.004
414,-0.211,-0.047,1.172
415,0.074,0.031,0.938
416,0.359,0.117,0.832
417,-0.102,-0.102,1.105
418,-0.566,-0.023,1.004
419,-0.270,-0.020,1.051
420,0.363,-0.023,1.031
421,-0.066,-0.016,0.953
422,-0.605,-0.008,0.969
423,-0.129,0.035,0.996
424,0.441,-0.098,1.133
425,0.027,-0.117,1.129
426,-0.473,-0.023,0.879
427,0.020,-0.066,1.078
428,0.426,-0.086,0.992
429,0.047,-0.207,1.223
430,0.047,-0.207,1.223
431,-0.223,-0.055,1.066
432,0.352,-0.012,1.020
433,0.730,-0.246,1.402
434,-0.027,-0.066,1.137
435,-0.594,0.051,0.812
436,0.324,-0.023,1.016
437,0.852,-0.055,1.137
438,0.043,0.008,0.938
439,-0.691,0.164,0.582
440,0.270,0.059,0.891
441,0.684,-0.078,1.129
442,-0.074,-0.051,0.961
443,-0.574,0.078,0.770
444,0.039,-0.078,1.273
445,0.492,-0.074,1.266
446,-0.156,-0.051,1.238
447,-0.340,-0.043,1.180
448,0.023,0.016,1.141
449,0.168,-0.055,1.227
450,-0.211,-0.031,1.039
451,-0.336,-0.109,0.977
452,-0.090,-0.012,0.918
453,0.031,-0.055,1.055
454,0.031,-0.055,1.055
455,-0.141,-0.051,0.742
456,-0.273,-0.082,0.723
457,-0.043,-0.031,1.074
458,0.227,0.113,1.020
459,0.148,-0.047,1.070
460,-0.113,-0.102,1.172
461,-0.066,-0.031,1.184
462,0.355,0.027,1.098
463,0.391,-0.145,1.086
464,0.008,-0.250,1.414
465,0.035,-0.004,1.020
466,0.219,0.055,0.977
467,0.277,-0.043,1.016
468,0.062,-0.148,1.156
469,-0.113,0.082,0.883
470,0.090,0.102,0.812
471,0.160,0.105,0.777
472,0.180,-0.051,1.180
473,-0.137,0.121,0.941
474,-0.012,0.215,0.707
475,0.145,-0.078,1.344
476,0.109,-0.184,1.406
477,-0.305,0.027,0.754
478,-0.305,0.027,0.754
479,-0.109,-0.035,1.004
480,0.203,-0.211,1.336
481,0.020,-0.141,1.109
482,-0.422,-0.012,0.980
483,-0.195,0.016,0.941
484,0.230,-0.219,1.012
485,0.016,-0.242,1.180
486,-0.266,0.012,1.031
487,-0.328,0.039,0.887
488,0.211,-0.062,0.828
489,0.164,-0.211,1.352
490,-0.117,0.059,1.094
491,-0.027,0.141,0.664
492,0.184,-0.133,1.109
493,0.215,-0.188,1.359
494,0.164,-0.070,1.273
495,0.188,0.031,0.898
496,0.133,0.055,0.723
497,0.246,-0.035,0.980
498,0.230,-0.062,1.188
499,0.000,-0.051,0.883
500,-0.047,0.070,0.520
501,0.199,-0.215,1.535
502,0.156,-0.098,1.316
503,-0.035,0.094,0.797
504,0.004,0.059,0.891
505,0.129,-0.094,1.441
506,-0.145,-0.145,1.227
507,-0.293,0.008,0.902
508,-0.047,-0.055,1.051
509,0.059,-0.125,1.082
510,-0.145,-0.133,1.043
511,-0.137,-0.059,0.926
512,-0.172,0.082,0.695
513,0.043,-0.043,0.902
514,0.000,-0.129,1.203
515,-0.180,-0.145,1.129
516,-0.109,0.223,0.484
517,0.188,-0.121,1.309
518,0.324,-0.109,1.621
519,-0.090,0.117,0.863
520,-0.012,0.141,0.828
521,0.148,-0.125,1.301
522,0.199,-0.227,1.547
523,0.020,0.051,0.754
524,0.098,0.195,0.559
525,0.227,-0.035,0.984
526,0.215,-0.211,1.312
527,0.035,-0.055,0.855
528,-0.004,0.066,0.688
529,0.223,0.004,0.863
530,0.145,-0.285,1.410
531,-0.094,-0.109,1.180
532,-0.137,0.246,0.758
533,0.102,-0.086,1.246
534,0.105,-0.086,1.203
535,-0.230,-0.176,1.340
536,-0.227,0.047,0.816
537,0.074,0.027,0.793
538,0.031,-0.293,1.422
539,-0.242,-0.066,1.035
540,-0.219,0.074,0.773
541,0.105,0.102,0.535
542,0.074,-0.215,1.250
543,-0.254,-0.180,1.340
544,-0.113,0.066,0.797
545,0.211,0.043,0.863
546,0.191,-0.109,1.289
547,-0.051,-0.113,1.270
548,0.027,-0.035,0.973
549,0.145,0.141,0.789
550,0.316,0.000,1.086
551,0.141,-0.059,1.176
552,-0.090,0.047,0.934
553,0.117,0.129,0.730
554,0.391,-0.207,1.375
555,0.203,-0.156,1.340
556,-0.137,0.055,0.695
557,-0.148,0.035,0.777
558,0.273,-0.152,1.316
559,0.191,-0.141,1.344
560,-0.285,0.031,0.906
561,-0.004,0.078,0.836
562,0.340,-0.148,1.211
563,-0.055,-0.137,1.172
564,-0.395,0.000,0.703
565,0.035,-0.078,0.949
566,0.211,0.047,0.840
567,-0.223,-0.039,0.914
568,-0.355,-0.164,1.051
569,-0.070,-0.082,1.184
570,-0.070,-0.082,1.184
571,0.070,0.109,0.918
572,-0.043,-0.059,1.172
573,-0.109,-0.160,1.359
574,-0.008,0.004,1.148
575,0.035,0.098,1.012
576,0.168,-0.051,1.281
577,0.090,-0.117,1.105
578,0.012,-0.039,1.000
579,0.051,0.137,0.574
580,0.262,-0.074,0.977
581,0.168,-0.023,0.910
582,-0.168,0.004,0.727
583,0.176,-0.027,0.938
584,0.422,-0.074,0.965
585,0.031,-0.160,1.297
586,-0.340,-0.070,1.133
587,0.262,-0.020,1.137
588,0.371,-0.082,1.199
589,-0.168,-0.043,1.188
590,-0.441,-0.035,1.172
591,0.207,-0.117,1.102
592,0.254,-0.160,1.047
593,-0.270,0.027,0.840
594,-0.164,0.098,0.738
595,0.250,-0.047,0.910
596,0.074,-0.062,0.812
597,-0.355,-0.062,0.953
598,-0.039,-0.035,1.055
599,0.344,-0.059,1.266
600,0.039,0.133,0.898
601,-0.281,0.023,1.059
602,-0.051,-0.195,1.539
603,0.078,0.027,1.074
604,-0.012,0.074,1.211
605,-0.133,-0.020,1.074
606,0.098,-0.176,1.098
607,-0.012,-0.043,0.832
608,-0.164,0.059,0.688
609,0.230,-0.148,1.113
610,0.180,-0.148,1.039
611,-0.082,-0.012,0.746
612,-0.035,-0.070,1.035
613,0.336,-0.086,1.059
614,0.188,-0.117,1.090
615,-0.289,0.078,1.027
616,0.133,0.070,1.156
617,0.543,-0.141,1.371
618,0.160,-0.141,1.035
619,-0.320,-0.031,0.977
620,-0.016,0.004,1.172
621,0.535,-0.035,1.176
622,-0.027,-0.066,0.871
623,-0.523,-0.098,0.766
624,-0.062,-0.023,1.332
625,0.598,0.098,1.031
626,-0.039,0.016,0.547
627,-0.695,-0.070,0.934
628,-0.008,-0.137,1.434
629,0.480,-0.020,1.215
630,-0.141,0.168,0.508
631,-0.723,-0.020,0.887
632,0.008,-0.254,1.348
633,0.496,-0.223,1.316
634,-0.086,0.199,0.648
635,-0.418,-0.023,1.199
636,0.289,-0.129,0.992
637,0.582,-0.316,1.387
638,-0.254,0.098,0.918
639,-0.297,0.230,0.672
640,0.574,-0.160,1.148
641,0.508,-0.273,1.363
642,-0.418,0.004,1.246
643,-0.363,0.297,0.633
644,0.539,-0.238,1.207
645,0.305,-0.246,1.125
646,-0.711,0.094,0.863
647,-0.492,0.246,0.453
648,0.672,-0.246,1.285
649,0.730,-0.309,1.453
650,-0.359,0.180,0.652
651,-0.477,0.238,0.645
652,0.617,-0.070,1.285
653,0.645,-0.254,1.473
654,-0.426,0.141,0.910
655,-0.578,0.309,0.648
656,0.391,-0.262,1.613
657,0.539,-0.379,1.793
658,-0.465,0.129,1.113
659,-0.633,0.387,0.480
660,0.324,-0.238,0.996
661,0.496,-0.594,1.641
662,-0.352,0.211,0.543
663,-0.590,0.355,0.375
664,0.340,-0.086,0.523
665,0.559,-0.789,1.844
666,-0.332,-0.039,1.008
667,-0.559,0.613,0.047
668,0.426,-0.059,0.855
669,0.660,-0.723,1.949
670,-0.289,-0.047,1.438
671,-0.598,0.695,0.137
672,0.379,-0.113,1.129
673,0.688,-0.719,1.984
674,-0.078,0.070,1.211
675,-0.582,0.590,-0.152
676,0.328,0.102,0.543
677,0.820,-0.730,1.992
678,-0.176,-0.039,1.312
679,-0.684,0.633,-0.547
680,0.285,-0.031,0.582
681,0.863,-0.656,1.980
682,-0.285,-0.102,1.293
683,-0.980,0.590,-0.254
684,0.184,0.035,0.852
685,1.008,-0.602,1.961
686,-0.195,-0.199,1.363
687,-1.258,0.508,0.051
688,-0.207,0.164,0.512
689,0.953,-0.652,1.812
690,0.176,-0.328,1.523
691,-1.094,0.426,0.270
692,-0.285,0.254,0.125
693,1.059,-0.617,1.840
694,0.516,-0.422,1.848
695,-0.891,0.477,0.250
696,-0.445,0.340,0.039
697,1.051,-0.453,1.727
698,0.707,-0.551,1.965
699,-0.766,0.379,0.531
700,-0.648,0.410,0.320
701,0.980,-0.176,1.008
702,1.062,-0.477,1.824
703,-0.441,0.227,0.727
704,-1.020,0.453,0.016
705,0.516,-0.176,1.020
706,1.152,-0.441,1.902
707,-0.043,0.199,1.055
708,-0.949,0.457,0.078
709,-0.145,-0.270,1.297
710,0.816,-0.449,1.926
711,0.082,0.023,1.465
712,-0.828,0.520,0.172
713,-0.375,-0.137,0.816
714,0.570,-0.645,1.730
715,0.141,-0.223,1.480
716,-0.555,0.398,0.242
717,-0.242,0.074,0.203
718,0.555,-0.527,1.641
719,0.242,-0.180,1.336
720,-0.570,0.191,0.480
721,-0.316,-0.102,0.719
722,0.570,-0.258,1.508
723,0.398,-0.055,1.484
724,-0.441,0.297,0.426
725,-0.320,-0.125,0.980
726,0.301,-0.309,1.680
727,0.473,0.129,1.203
728,-0.121,0.324,0.348
729,-0.156,-0.219,1.242
730,0.344,-0.223,1.680
731,0.484,0.289,0.941
732,-0.074,0.312,0.238
733,-0.191,-0.215,1.004
734,0.309,-0.184,1.512
735,0.371,0.293,0.945
736,-0.062,0.230,0.363
737,-0.258,-0.312,1.262
738,0.000,-0.363,1.793
739,0.199,0.062,1.133
740,-0.133,0.184,0.480
741,-0.363,-0.211,1.121
742,-0.242,-0.430,1.676
743,-0.023,-0.145,1.137
744,-0.152,0.121,0.551
745,-0.320,0.000,0.777
746,-0.336,-0.281,1.145
747,-0.215,-0.359,1.121
748,-0.270,-0.031,0.844
749,-0.371,0.023,0.934
750,-0.312,-0.043,0.930
751,-0.078,-0.070,1.129
752,-0.250,-0.035,1.207
753,-0.477,0.094,0.891
754,-0.363,0.004,1.094
755,0.062,0.105,1.121
756,0.016,0.152,1.051
757,-0.352,0.145,0.812
758,-0.371,-0.105,1.223
759,-0.148,-0.074,1.387
760,-0.109,0.148,0.859
761,-0.449,0.086,0.801
762,-0.488,-0.090,1.238
763,-0.297,-0.098,1.289
764,-0.414,-0.074,1.070
765,-0.684,0.008,0.949
766,-0.672,-0.086,1.082
767,-0.438,-0.105,1.203
768,-0.484,-0.133,0.906
769,-0.598,-0.242,0.895
770,-0.719,-0.250,1.016
771,-0.629,-0.125,0.867
772,-0.453,-0.172,0.754
773,-0.465,-0.328,1.062
774,-0.562,-0.020,0.828
775,-0.645,-0.070,0.777
776,-0.527,-0.258,1.203
777,-0.473,-0.031,1.066
778,-0.609,-0.020,1.129
779,-0.680,0.109,1.020
780,-0.488,-0.062,1.324
781,-0.434,-0.035,1.117
782,-0.551,0.105,0.957
783,-0.547,0.105,1.324
784,-0.438,0.203,0.984
785,-0.383,-0.023,0.840
786,-0.586,-0.184,0.988
787,-0.629,-0.152,1.344
788,-0.289,0.176,0.977
789,-0.148,0.125,0.512
790,-0.418,-0.234,1.023
791,-0.570,-0.223,1.379
792,-0.227,0.113,0.797
793,-0.059,0.094,0.379
794,-0.488,-0.367,1.188
795,-0.797,-0.332,1.691
796,-0.426,0.078,0.938
797,-0.285,-0.066,0.586
798,-0.652,-0.414,1.406
799,-0.855,-0.262,1.625
800,-0.453,0.141,0.715
801,-0.320,-0.035,0.789
802,-0.801,-0.355,1.512
803,-0.941,-0.188,1.301
804,-0.289,0.133,0.625
805,-0.148,0.117,0.582
806,-0.836,-0.082,1.074
807,-0.914,-0.113,1.250
808,-0.129,0.152,0.738
809,-0.078,0.266,0.535
810,-0.840,-0.023,1.012
811,-0.859,-0.195,1.480
812,-0.176,0.102,1.109
813,-0.211,0.305,0.602
814,-0.812,-0.008,1.023
815,-0.719,-0.320,1.637
816,-0.043,-0.043,1.242
817,-0.156,0.176,0.730
818,-0.832,-0.094,0.945
819,-0.723,-0.477,1.605
820,-0.145,-0.273,1.258
821,-0.109,-0.004,0.629
822,-0.777,-0.078,0.840
823,-0.832,-0.387,1.320
824,-0.121,-0.266,1.098
825,0.066,0.031,0.629
826,-0.633,0.031,0.711
827,-0.754,-0.246,1.195
828,-0.004,-0.215,1.125
829,0.152,0.145,0.691
830,-0.594,0.129,0.887
831,-0.695,-0.191,1.449
832,0.039,-0.117,1.281
833,0.203,0.207,0.828
834,-0.562,0.191,0.953
835,-0.727,-0.148,1.461
836,-0.031,-0.133,1.273
837,0.203,0.125,0.859
