Sample,X,Y,Z
0,0.055,0.031,1.047
1,0.027,-0.027,1.023
2,0.027,-0.051,1.043
3,0.035,-0.055,1.062
4,0.027,-0.023,1.039
5,0.031,-0.023,1.016
6,0.016,-0.062,1.051
7,0.023,-0.066,1.051
8,0.027,-0.020,1.027
9,0.016,-0.027,1.016
10,0.016,-0.047,1.031
11,0.027,-0.051,1.055
12,0.027,-0.035,1.031
13,0.008,-0.035,1.020
14,0.016,-0.051,1.039
15,0.027,-0.051,1.051
16,0.035,-0.043,1.043
17,0.020,-0.027,1.031
18,0.031,-0.047,1.039
19,0.027,-0.051,1.059
20,0.027,-0.031,1.043
21,0.020,-0.027,1.020
22,0.020,-0.043,1.031
23,0.020,-0.051,1.062
24,0.020,-0.043,1.129
25,0.027,-0.012,1.062
26,0.027,-0.039,1.027
27,-0.008,-0.055,1.016
28,0.031,-0.039,1.086
29,0.062,-0.039,1.039
30,0.023,-0.039,1.008
31,0.027,-0.051,1.047
32,0.023,-0.051,1.051
33,0.012,-0.047,1.035
34,0.027,-0.035,1.027
35,0.031,-0.039,1.039
36,0.016,-0.051,1.047
37,0.020,-0.039,1.031
38,0.020,-0.059,1.047
39,0.035,-0.043,1.047
40,0.004,-0.035,1.051
41,0.016,-0.047,1.035
42,0.027,-0.047,1.035
43,0.027,-0.031,1.051
44,0.020,-0.035,1.039
45,0.020,-0.051,1.023
46,0.020,-0.051,1.043
47,0.043,-0.027,1.035
48,0.016,-0.039,1.066
49,0.047,-0.043,1.113
50,0.062,-0.043,1.027
51,-0.016,-0.043,1.016
52,0.051,-0.023,0.957
53,0.035,-0.039,1.094
54,0.031,-0.059,1.023
55,0.031,-0.035,1.031
56,0.012,-0.027,1.035
57,0.023,-0.051,1.051
58,0.023,-0.055,1.043
59,0.027,-0.035,1.035
60,0.023,-0.031,1.031
61,0.016,-0.055,1.055
62,0.031,-0.055,1.047
63,0.027,-0.035,1.020
64,0.023,-0.035,1.039
65,0.023,-0.047,1.039
66,0.020,-0.051,1.039
67,0.027,-0.043,1.039
68,0.035,-0.039,1.027
69,0.027,-0.043,1.059
70,0.023,-0.047,1.051
71,0.027,-0.031,1.027
72,0.062,-0.043,1.023
73,0.031,-0.047,1.117
74,-0.008,-0.059,1.031
75,0.016,-0.047,1.027
76,0.043,-0.031,1.145
77,0.043,-0.047,1.000
78,0.023,-0.055,1.035
79,0.020,-0.039,1.043
80,0.020,-0.039,1.031
81,0.023,-0.039,1.043
82,0.031,-0.039,1.035
83,0.020,-0.047,1.020
84,0.012,-0.051,1.043
85,0.023,-0.043,1.043
86,0.035,-0.035,1.039
87,0.027,-0.043,1.035
88,0.020,-0.035,1.039
89,0.020,-0.027,1.039
90,0.027,-0.039,1.016
91,0.016,-0.020,1.121
92,0.020,0.129,1.125
93,0.020,0.152,1.023
94,0.020,0.152,1.023
95,-0.023,0.055,1.023
96,-0.039,0.086,1.148
97,0.070,0.246,1.105
98,0.059,0.285,1.098
99,-0.047,0.152,1.000
100,-0.035,0.184,1.164
101,0.086,0.395,1.109
102,0.070,0.410,1.109
103,-0.047,0.230,1.152
104,-0.125,0.215,1.117
105,-0.020,0.504,0.934
106,0.020,0.551,0.965
107,-0.113,0.230,1.184
108,-0.207,0.246,1.090
109,-0.121,0.527,0.820
110,-0.023,0.488,0.926
111,-0.047,0.250,1.105
112,-0.102,0.250,1.148
113,-0.023,0.465,0.895
114,0.121,0.473,0.957
115,0.113,0.371,1.164
116,0.078,0.387,1.074
117,0.148,0.512,0.906
118,0.203,0.539,1.012
119,0.172,0.469,1.219
120,0.160,0.520,1.164
121,0.156,0.602,1.000
122,0.098,0.578,0.977
123,0.059,0.508,1.180
124,0.027,0.543,1.102
125,0.141,0.566,0.988
126,0.082,0.539,0.926
127,0.035,0.512,1.109
128,-0.004,0.562,0.949
129,-0.086,0.477,0.844
130,-0.176,0.355,0.969
131,-0.109,0.387,1.070
132,-0.035,0.469,1.039
133,-0.031,0.473,1.004
134,-0.121,0.359,1.055
135,-0.211,0.340,1.164
136,-0.176,0.426,1.070
137,-0.086,0.469,1.121
138,0.051,0.434,1.031
139,-0.156,0.418,1.254
140,-0.199,0.559,1.035
141,-0.145,0.477,1.062
142,0.238,0.414,1.211
143,0.195,0.504,1.012
144,-0.047,0.617,0.949
145,-0.258,0.566,0.809
146,0.215,0.391,1.289
147,0.434,0.512,1.043
148,0.309,0.637,0.766
149,-0.105,0.590,0.562
150,-0.039,0.449,1.090
151,0.559,0.367,1.219
152,0.273,0.449,0.961
153,-0.379,0.664,0.574
154,-0.402,0.363,1.215
155,0.617,0.164,1.645
156,0.410,0.512,1.090
157,-0.539,0.707,0.586
158,-0.387,0.387,1.387
159,0.664,0.223,1.762
160,0.266,0.609,0.934
161,-0.660,0.641,0.660
162,-0.363,0.289,1.109
163,0.219,0.176,1.477
164,0.137,0.523,0.746
165,-0.621,0.590,0.344
166,-0.391,0.234,1.258
167,0.371,0.207,1.395
168,0.379,0.500,0.688
169,-0.438,0.547,0.734
170,-0.441,0.488,1.336
171,0.395,0.406,0.992
172,0.449,0.359,1.293
173,-0.277,0.684,0.773
174,-0.281,0.680,0.918
175,0.449,0.285,1.160
176,0.324,0.148,1.488
177,-0.227,0.629,0.855
178,-0.176,0.441,1.008
179,0.418,0.012,1.215
180,0.320,-0.004,1.141
181,-0.281,0.496,1.008
182,0.012,0.555,0.641
183,0.277,0.039,1.250
184,0.156,0.098,0.949
185,-0.328,0.406,0.801
186,-0.133,0.301,0.832
187,0.266,-0.145,1.055
188,0.223,-0.113,1.277
189,-0.387,0.215,0.742
190,-0.039,0.109,1.234
191,0.348,-0.180,1.316
192,0.145,-0.152,1.188
193,-0.387,0.258,1.141
194,-0.297,0.320,0.887
195,0.344,-0.156,1.492
196,0.043,-0.117,1.328
197,-0.340,0.340,0.633
198,-0.094,0.250,0.914
199,0.297,-0.238,1.363
200,0.258,-0.156,0.879
201,-0.535,0.184,0.133
202,-0.211,-0.137,1.223
203,0.555,-0.230,1.629
204,0.227,-0.016,0.844
205,-0.320,0.055,0.582
206,-0.145,0.008,1.176
207,0.512,-0.254,1.496
208,0.387,-0.223,1.223
209,-0.422,0.082,0.453
210,-0.148,0.023,1.215
211,0.605,-0.301,1.523
212,0.352,-0.363,1.145
213,-0.332,0.066,0.500
214,-0.262,0.070,1.273
215,0.430,-0.059,1.402
216,0.203,-0.129,1.031
217,-0.438,0.070,0.375
218,-0.344,0.062,0.957
219,0.461,-0.117,1.602
220,0.250,0.066,0.914
221,-0.305,0.199,0.148
222,-0.301,-0.086,1.219
223,0.484,-0.215,1.480
224,0.102,-0.043,0.859
225,-0.238,0.168,0.480
226,-0.266,-0.125,1.559
227,0.297,-0.125,1.535
228,0.059,0.109,0.828
229,-0.250,0.176,0.977
230,-0.062,0.047,0.977
231,0.121,-0.297,1.441
232,0.160,-0.086,0.816
233,-0.164,0.086,0.875
234,0.016,-0.109,0.910
235,0.402,-0.398,1.137
236,0.098,-0.254,1.262
237,-0.043,0.266,0.547
238,-0.113,-0.066,1.125
239,0.141,-0.305,1.047
240,0.051,-0.215,1.266
241,-0.109,0.227,0.637
242,0.023,0.094,0.816
243,0.207,-0.219,1.211
244,0.203,-0.098,1.297
245,0.016,0.117,1.168
246,-0.062,0.172,0.809
247,0.051,-0.160,1.227
248,0.234,-0.121,1.258
249,-0.184,0.094,1.004
250,-0.008,0.305,0.531
251,0.027,-0.105,1.406
252,0.117,-0.039,1.000
253,-0.082,0.055,0.812
254,-0.277,0.098,0.777
255,0.031,-0.273,1.520
256,0.219,-0.117,0.754
257,-0.070,-0.191,0.938
258,-0.172,-0.082,0.758
259,0.094,-0.223,1.430
260,0.305,-0.035,0.965
261,-0.105,-0.016,1.027
262,-0.094,0.047,0.969
263,-0.125,-0.133,1.379
264,0.039,-0.152,1.281
265,0.246,0.141,0.863
266,-0.285,0.023,0.859
267,0.152,-0.168,0.980
268,0.285,-0.129,1.277
269,0.246,0.090,0.961
270,0.004,0.125,1.008
271,-0.012,-0.074,0.637
272,-0.043,-0.289,1.652
273,0.090,0.238,0.609
274,0.051,0.180,0.773
275,0.000,-0.090,1.273
276,0.145,-0.039,1.121
277,0.000,0.086,0.770
278,-0.105,-0.051,1.062
