Sample,X,Y,Z
0,0.016,0.023,1.055
1,0.020,-0.043,1.062
2,0.012,-0.047,1.055
3,0.027,-0.035,1.023
4,0.031,-0.031,1.031
5,0.031,-0.039,1.051
6,0.020,-0.047,1.047
7,0.023,-0.039,1.035
8,0.031,-0.027,1.035
9,0.023,-0.039,1.035
10,0.023,-0.047,1.043
11,0.023,-0.039,1.055
12,0.027,-0.031,1.027
13,0.020,-0.039,1.035
14,0.020,-0.043,1.035
15,0.035,-0.051,1.043
16,0.035,-0.023,1.020
17,0.016,-0.031,1.043
18,0.012,-0.059,1.051
19,0.020,-0.051,1.039
20,0.023,-0.035,1.023
21,0.027,-0.020,1.031
22,0.027,-0.059,1.047
23,0.008,-0.059,1.059
24,0.055,-0.035,1.004
25,0.062,-0.035,1.047
26,-0.039,-0.039,1.055
27,0.047,-0.062,1.020
28,0.027,-0.047,1.094
29,0.059,-0.023,0.996
30,0.016,-0.039,1.043
31,0.027,-0.062,1.039
32,0.031,-0.043,1.031
33,0.012,-0.023,1.035
34,0.016,-0.035,1.043
35,0.020,-0.051,1.043
36,0.031,-0.035,1.027
37,0.023,-0.023,1.039
38,0.008,-0.047,1.055
39,0.016,-0.055,1.023
40,0.035,-0.039,1.027
41,0.023,-0.023,1.062
42,0.020,-0.043,1.039
43,0.012,-0.066,1.051
44,0.023,-0.043,1.023
45,0.039,-0.027,1.031
46,0.027,-0.035,1.055
47,0.016,-0.055,1.043
48,0.016,-0.059,1.035
49,0.047,-0.008,1.078
50,0.070,-0.035,1.086
51,-0.035,-0.070,1.008
52,0.020,-0.055,1.043
53,0.035,-0.031,1.035
54,0.023,-0.027,1.027
55,0.023,-0.047,1.066
56,0.008,-0.051,1.027
57,0.023,-0.039,1.016
58,0.031,-0.027,1.043
59,0.027,-0.055,1.062
60,0.020,-0.051,1.035
61,0.020,-0.043,1.016
62,0.023,-0.027,1.035
63,0.047,-0.043,1.055
64,0.023,-0.059,1.043
65,0.012,-0.031,1.023
66,0.023,-0.016,1.027
67,0.027,-0.043,1.059
68,0.027,-0.051,1.039
69,0.020,-0.047,1.023
70,0.020,-0.023,1.035
71,0.020,-0.035,1.031
72,0.004,-0.062,1.117
73,0.043,-0.023,1.082
74,0.043,-0.031,1.098
75,-0.031,-0.051,1.051
76,0.031,-0.059,1.012
77,0.031,-0.047,1.133
78,0.051,-0.031,1.082
79,0.008,-0.039,1.043
80,0.020,-0.062,1.031
81,0.027,-0.031,1.031
82,0.031,-0.023,1.051
83,0.016,-0.043,1.043
84,0.012,-0.059,1.031
85,0.020,-0.043,1.043
86,0.031,-0.027,1.043
87,0.035,-0.035,1.043
88,0.016,-0.043,1.047
89,0.023,-0.039,1.039
90,0.020,-0.035,1.039
91,0.027,0.008,1.141
92,0.031,0.148,1.094
93,0.012,0.121,1.043
94,-0.016,0.062,1.078
95,0.012,0.176,1.215
96,0.039,0.363,1.129
97,0.059,0.383,1.027
98,-0.059,0.297,0.961
99,-0.102,0.305,1.086
100,0.094,0.363,1.246
101,0.059,0.312,1.059
102,-0.168,0.223,0.852
103,-0.129,0.234,1.043
104,0.020,0.305,1.125
105,-0.059,0.273,1.129
106,-0.180,0.312,0.863
107,-0.125,0.262,1.031
108,-0.023,0.301,1.051
109,-0.008,0.371,1.109
110,-0.059,0.426,1.008
111,0.008,0.363,1.027
112,0.094,0.359,1.098
113,0.098,0.453,1.113
114,0.098,0.570,0.949
115,0.148,0.477,0.965
116,0.172,0.352,1.090
