Sample,X,Y,Z
0,0.016,0.035,1.027
1,0.027,-0.039,1.039
2,0.020,-0.047,1.035
3,0.023,-0.039,1.043
4,0.027,-0.035,1.035
5,0.020,-0.035,1.043
6,0.020,-0.043,1.035
7,0.023,-0.035,1.023
8,0.023,-0.035,1.035
9,0.020,-0.031,1.047
10,0.020,-0.055,1.047
11,0.023,-0.047,1.039
12,0.027,-0.039,1.031
13,0.020,-0.039,1.035
14,0.023,-0.039,1.047
15,0.016,-0.039,1.039
16,0.016,-0.039,1.031
17,0.031,-0.035,1.043
18,0.035,-0.035,1.039
19,0.023,-0.051,1.039
20,0.008,-0.039,1.031
21,0.023,-0.035,1.031
22,0.023,-0.047,1.055
23,0.031,-0.043,1.031
24,0.020,-0.031,0.992
25,0.023,-0.035,1.070
26,-0.016,-0.039,1.039
27,0.035,-0.039,1.066
28,0.031,-0.035,0.973
29,0.012,-0.047,1.039
30,0.023,-0.039,1.062
31,0.016,-0.039,1.039
32,0.008,-0.043,1.035
33,0.027,-0.043,1.039
34,0.035,-0.047,1.051
35,0.016,-0.035,1.035
36,0.012,-0.039,1.031
37,0.031,-0.043,1.047
38,0.031,-0.039,1.043
39,0.023,-0.027,1.035
40,0.020,-0.047,1.035
41,0.023,-0.043,1.027
42,0.031,-0.031,1.039
43,0.020,-0.039,1.035
44,0.016,-0.043,1.035
45,0.023,-0.047,1.031
46,0.039,-0.039,1.047
47,0.027,-0.031,1.031
48,0.020,-0.023,1.031
49,0.020,-0.031,1.066
50,0.000,-0.043,1.031
51,0.055,-0.039,1.074
52,0.043,-0.039,1.039
53,-0.004,-0.055,1.027
54,0.027,-0.035,1.039
55,0.023,-0.031,1.031
56,0.008,-0.043,1.039
57,0.023,-0.035,1.027
58,0.027,-0.039,1.051
59,0.020,-0.035,1.043
60,0.016,-0.039,1.035
61,0.035,-0.043,1.027
62,0.035,-0.043,1.043
63,0.016,-0.035,1.031
64,0.008,-0.039,1.035
65,0.027,-0.043,1.039
66,0.027,-0.043,1.051
67,0.016,-0.047,1.043
68,0.012,-0.039,1.035
69,0.023,-0.039,1.031
70,0.031,-0.043,1.035
71,0.023,-0.031,1.031
72,0.008,-0.043,1.074
73,0.055,-0.031,1.121
74,0.043,-0.031,1.047
75,-0.008,-0.043,1.023
76,0.016,-0.062,1.000
77,0.043,-0.035,1.141
78,0.035,-0.035,1.023
79,0.020,-0.039,1.035
80,0.020,-0.043,1.043
81,0.027,-0.039,1.051
82,0.027,-0.043,1.035
83,0.020,-0.039,1.020
84,0.016,-0.035,1.023
85,0.023,-0.039,1.055
86,0.027,-0.039,1.043
87,0.008,-0.047,1.039
88,0.012,-0.039,1.031
89,0.027,-0.039,1.043
90,0.043,-0.031,1.047
91,0.008,-0.031,1.031
92,0.012,-0.039,1.039
93,0.031,-0.047,1.035
94,0.031,-0.035,1.043
95,0.023,-0.035,1.039
96,0.023,-0.039,1.055
97,0.035,0.004,1.145
98,0.043,0.055,1.137
99,-0.035,0.109,0.965
100,0.016,0.000,1.133
101,-0.016,0.133,1.188
102,0.055,0.383,1.105
103,0.031,0.348,1.020
104,-0.094,0.215,1.152
105,-0.090,0.316,1.258
106,0.066,0.574,1.027
107,0.109,0.574,0.902
108,-0.043,0.379,1.047
109,-0.020,0.348,1.227
110,0.105,0.473,1.043
111,0.000,0.410,0.844
112,-0.156,0.320,0.992
113,-0.133,0.305,1.141
114,-0.004,0.273,0.941
115,-0.117,0.262,0.992
116,-0.191,0.363,1.098
117,-0.090,0.391,1.098
118,-0.047,0.285,1.000
119,-0.176,0.352,1.070
120,-0.070,0.574,1.043
121,0.148,0.531,1.129
122,0.109,0.441,1.105
123,-0.008,0.570,1.156
124,0.129,0.793,0.973
125,0.289,0.680,1.078
126,0.160,0.500,1.027
127,0.051,0.543,1.094
128,0.168,0.727,0.816
129,0.219,0.574,0.957
130,0.137,0.473,1.098
131,0.016,0.492,1.035
132,0.059,0.531,0.836
133,0.059,0.473,0.922
134,-0.008,0.309,1.055
135,-0.055,0.426,1.207
136,0.008,0.621,0.859
137,0.012,0.422,1.027
138,-0.125,0.230,1.305
139,-0.164,0.398,1.234
140,-0.113,0.629,0.973
141,-0.078,0.480,0.891
142,-0.188,0.176,1.023
143,-0.199,0.242,1.297
144,-0.027,0.711,0.816
145,0.023,0.559,0.902
146,-0.098,0.238,1.098
147,-0.098,0.398,1.070
148,-0.074,0.734,1.020
149,0.098,0.684,0.715
150,0.125,0.328,1.359
151,-0.027,0.438,1.062
152,0.086,0.711,1.082
153,0.141,0.707,0.727
154,0.141,0.281,1.352
155,0.133,0.363,1.125
156,0.086,0.520,0.980
157,0.000,0.535,0.863
158,0.152,0.383,1.082
159,0.031,0.199,1.031
160,0.406,0.398,1.070
161,0.004,0.535,0.785
162,-0.125,0.293,1.086
163,0.082,0.344,1.168
164,0.195,0.508,0.941
165,0.066,0.555,0.848
166,-0.246,0.387,1.129
167,-0.297,0.332,1.250
168,0.164,0.562,1.238
169,0.270,0.758,1.137
170,-0.184,0.621,1.145
171,-0.531,0.305,1.145
172,-0.102,0.434,1.039
173,0.246,0.711,1.121
174,0.055,0.711,0.887
175,-0.562,0.449,0.934
176,-0.172,0.281,0.867
177,0.395,0.414,1.086
178,0.141,0.547,0.938
179,-0.504,0.438,0.789
180,-0.078,0.254,0.859
181,0.379,0.230,1.262
182,-0.051,0.289,0.941
183,-0.191,0.188,1.031
184,0.227,0.211,1.117
185,0.703,0.195,1.527
186,-0.047,0.289,0.758
187,-0.141,0.086,1.000
188,0.305,0.121,1.445
189,0.504,0.301,0.902
190,-0.250,0.023,1.074
191,-0.281,-0.145,0.922
192,0.188,0.051,1.078
193,0.562,0.320,1.031
194,-0.176,0.117,0.996
195,-0.473,-0.168,0.891
196,-0.027,-0.098,1.258
197,0.473,0.387,0.953
198,-0.219,0.352,0.730
199,-0.344,-0.070,0.836
200,-0.070,-0.250,1.355
201,0.191,0.137,0.957
202,-0.301,0.270,0.703
203,-0.250,-0.047,0.953
204,0.098,-0.270,1.051
205,0.102,-0.129,1.320
206,-0.266,0.145,0.980
207,-0.008,-0.113,0.973
208,0.203,-0.465,1.414
209,0.129,-0.184,1.246
210,0.129,-0.184,1.246
211,-0.141,0.227,0.992
212,0.070,0.105,0.891
213,0.273,-0.434,1.117
214,0.043,-0.465,1.301
215,-0.102,0.133,1.027
216,0.180,0.324,0.387
217,0.332,-0.270,1.172
218,0.250,-0.297,1.035
219,-0.094,-0.074,1.176
220,-0.004,0.309,0.629
221,0.375,0.086,0.973
222,0.203,-0.109,1.066
223,-0.148,0.016,0.957
224,-0.227,0.188,0.992
225,0.191,0.254,1.418
226,0.328,0.180,0.938
227,-0.383,-0.199,1.297
228,-0.352,-0.027,0.965
229,0.000,0.137,0.996
230,0.227,-0.012,0.949
231,-0.066,-0.215,0.844
232,-0.168,-0.207,0.863
233,-0.039,-0.074,0.984
234,0.043,-0.016,0.777
235,-0.059,-0.270,1.078
236,-0.297,-0.262,1.328
237,0.031,-0.004,0.934
238,0.086,-0.066,1.270
239,0.004,-0.062,1.473
240,0.102,-0.016,1.219
241,0.168,-0.168,1.055
242,-0.039,-0.215,1.156
243,0.113,0.090,0.957
244,0.062,0.066,1.078
245,0.164,-0.156,0.859
246,0.176,-0.246,0.949
247,-0.016,0.008,0.980
248,0.102,0.125,0.750
249,-0.016,-0.066,0.820
250,0.008,0.004,1.027
251,0.281,0.168,0.766
252,-0.031,0.062,1.273
253,0.105,0.180,1.105
254,-0.027,0.062,1.066
255,0.180,0.027,1.414
256,-0.227,0.176,0.883
257,-0.211,-0.035,1.098
258,0.035,-0.066,0.996
259,0.004,-0.074,1.160
260,0.000,0.023,0.738
261,-0.121,-0.246,1.234
262,-0.027,-0.242,0.809
263,-0.016,-0.422,1.328
264,0.012,0.023,0.668
265,0.289,-0.043,1.441
266,-0.074,-0.098,0.867
267,0.039,-0.215,1.117
268,-0.012,-0.125,0.855
269,0.090,-0.102,1.109
270,0.086,0.039,1.027
271,-0.094,0.070,0.680
272,0.137,-0.176,0.801
273,0.234,-0.160,1.512
274,0.285,0.188,1.082
275,-0.043,0.188,1.141
276,-0.020,0.020,0.930
277,-0.141,-0.176,1.051
278,0.152,0.082,1.188
279,0.035,0.211,0.969
280,-0.066,0.191,0.648
281,0.121,-0.090,0.910
282,-0.004,-0.297,1.320
283,0.027,-0.008,1.250
284,-0.230,0.113,1.043
285,0.066,-0.090,0.715
286,0.145,-0.297,1.180
287,-0.184,-0.035,0.988
288,-0.016,0.164,0.957
289,-0.039,0.047,0.609
290,0.293,-0.273,1.066
291,-0.012,-0.094,1.312
292,-0.223,0.094,1.191
293,-0.016,-0.035,0.754
294,0.461,-0.371,1.375
295,-0.117,-0.121,1.594
296,-0.207,0.312,0.711
297,-0.180,0.078,0.609
298,0.391,-0.242,0.980
299,0.141,-0.258,1.480
300,-0.418,0.172,0.816
301,-0.094,0.078,0.504
302,0.469,-0.273,1.094
303,0.426,-0.273,1.520
304,-0.332,0.012,1.031
305,-0.164,0.125,0.816
306,0.430,0.016,1.176
307,0.391,-0.035,1.285
308,-0.379,-0.043,0.980
309,-0.410,-0.020,0.910
310,0.438,0.176,0.891
311,0.531,0.027,1.051
312,-0.445,-0.141,1.016
313,-0.531,-0.074,1.074
314,0.422,0.176,0.742
315,0.512,-0.141,1.180
316,-0.414,-0.031,0.992
317,-0.590,0.012,1.047
318,0.531,0.172,0.723
319,0.367,-0.160,1.535
320,-0.297,0.070,1.180
321,-0.574,0.098,0.934
322,0.414,-0.043,0.676
323,0.504,-0.332,1.387
324,-0.445,-0.090,1.172
325,-0.461,0.105,0.855
326,0.598,-0.047,0.719
327,0.227,-0.375,1.070
328,-0.336,-0.254,1.340
329,-0.281,0.156,0.676
330,0.578,-0.059,0.754
331,0.344,-0.238,1.316
332,-0.496,-0.168,1.438
333,-0.133,0.172,0.547
334,-0.133,0.172,0.547
335,0.488,-0.168,1.195
336,0.297,-0.027,1.422
337,-0.430,0.148,1.074
338,0.004,0.109,0.848
339,0.340,-0.039,1.383
340,0.160,-0.035,1.230
341,-0.215,0.062,0.629
342,-0.133,-0.223,0.953
343,0.309,-0.012,0.879
344,0.223,0.160,1.043
345,0.000,0.020,1.004
346,-0.285,-0.180,0.961
347,-0.102,-0.066,1.043
348,0.289,0.113,1.051
349,-0.043,-0.008,1.062
350,-0.387,0.082,0.625
351,-0.125,-0.086,1.305
352,0.312,0.020,1.219
353,-0.027,-0.008,1.160
354,-0.262,-0.031,0.809
355,-0.098,-0.230,0.922
356,0.398,-0.238,1.512
357,-0.090,0.141,1.051
358,-0.348,-0.078,1.070
359,0.070,-0.250,1.012
360,0.367,-0.426,1.379
361,0.086,0.039,1.043
362,-0.230,0.148,0.496
363,0.125,-0.223,1.082
364,0.223,-0.180,1.273
365,0.090,-0.012,1.418
366,0.047,0.277,0.430
367,0.129,0.000,0.922
368,0.168,0.062,0.961
369,0.152,0.086,1.129
370,-0.082,0.105,0.609
371,-0.047,0.051,0.887
372,0.129,-0.055,1.219
373,0.062,0.055,1.219
374,-0.242,0.145,0.957
375,-0.188,-0.023,1.133
376,0.266,-0.074,1.367
377,0.137,-0.090,1.398
378,-0.254,0.031,0.570
379,-0.219,-0.176,0.887
380,0.168,-0.211,1.227
381,0.059,-0.027,0.965
382,-0.113,-0.066,0.773
383,-0.094,-0.301,0.832
384,0.109,-0.348,1.359
385,0.262,-0.047,1.102
386,-0.109,-0.035,0.754
387,-0.324,-0.234,0.906
388,0.121,-0.195,1.574
389,0.199,0.234,0.918
390,0.016,0.180,0.910
391,-0.082,0.078,0.883
392,0.156,-0.133,1.574
393,0.305,0.059,1.117
394,0.008,0.090,0.941
395,-0.207,0.094,0.715
396,0.000,-0.211,1.254
397,0.211,0.020,1.031
398,0.043,0.188,0.676
399,-0.062,0.074,0.832
400,0.105,-0.012,1.059
401,0.211,-0.027,1.055
402,-0.055,-0.004,0.676
403,-0.172,-0.098,1.246
404,0.105,-0.039,1.090
405,0.082,-0.188,1.113
406,-0.090,-0.148,1.168
407,-0.262,-0.109,1.195
408,0.113,-0.062,1.027
409,0.270,-0.227,1.348
410,-0.062,-0.227,0.980
411,-0.027,-0.156,1.133
412,-0.047,-0.023,0.887
413,0.066,-0.066,0.766
414,-0.020,-0.086,0.949
415,-0.020,-0.039,0.984
416,0.254,0.051,0.930
417,0.145,0.027,1.141
418,-0.102,0.035,1.012
419,0.012,-0.004,1.160
420,0.035,0.059,1.148
421,0.062,0.164,0.812
422,0.074,0.020,1.398
423,-0.129,0.078,0.902
424,-0.027,0.035,0.750
425,-0.074,-0.031,1.062
426,0.164,0.051,1.180
427,0.023,0.027,1.008
428,-0.039,-0.102,1.121
429,-0.023,-0.094,1.121
430,-0.051,-0.121,0.879
431,0.059,-0.195,1.102
432,0.027,-0.062,1.215
433,0.090,0.051,0.930
434,0.191,-0.066,0.832
435,-0.086,-0.273,1.105
436,0.008,-0.105,0.988
437,0.211,0.031,0.898
438,0.043,-0.047,0.879
439,0.020,-0.164,1.230
440,-0.109,-0.227,1.277
441,-0.008,-0.105,0.965
442,0.156,0.008,1.070
443,0.129,0.109,1.160
444,-0.023,0.090,0.863
445,-0.023,-0.051,0.777
446,-0.113,-0.098,1.434
447,-0.027,0.289,1.023
448,-0.070,0.152,0.797
449,-0.188,-0.047,0.906
450,-0.176,-0.074,1.332
451,0.164,0.117,1.090
452,-0.090,0.152,0.973
453,-0.047,0.152,0.793
454,-0.086,-0.094,0.918
455,0.047,-0.234,1.309
456,0.020,0.008,0.930
457,0.129,-0.098,1.117
458,0.020,-0.191,0.922
459,0.055,-0.309,1.246
460,0.164,-0.102,1.086
461,0.113,-0.070,0.957
462,0.305,-0.082,0.898
463,-0.176,-0.320,1.309
464,-0.129,-0.129,0.762
465,0.168,0.000,1.008
466,0.297,0.031,0.848
467,0.141,-0.199,1.312
468,-0.066,-0.102,1.031
469,0.055,-0.043,1.188
470,0.355,0.008,1.180
471,0.148,0.016,0.730
472,-0.168,-0.199,1.098
473,-0.039,-0.070,1.320
474,0.203,0.309,0.840
475,-0.090,0.141,0.727
476,-0.191,-0.102,0.914
477,-0.117,0.047,1.316
478,0.070,0.324,1.051
479,-0.082,0.109,0.680
480,-0.359,-0.113,1.223
481,-0.105,0.020,1.035
482,0.195,-0.082,1.043
483,0.035,0.062,0.891
484,-0.336,-0.109,1.148
485,-0.188,-0.133,1.230
486,0.316,-0.016,1.062
487,0.289,-0.074,1.152
488,-0.262,-0.148,1.012
489,-0.023,-0.250,1.094
490,0.387,-0.219,1.277
491,0.223,0.051,0.875
492,-0.078,0.094,0.730
493,0.148,-0.133,0.906
494,0.246,-0.305,1.254
495,0.000,-0.004,0.742
496,-0.031,0.059,0.727
497,0.242,-0.035,1.105
