Sample,X,Y,Z
0,0.020,0.195,1.090
1,0.008,-0.047,1.035
2,0.023,-0.047,1.027
3,0.027,-0.031,1.039
4,0.031,-0.023,1.043
5,0.016,-0.039,1.039
6,0.016,-0.039,1.027
7,0.031,-0.031,1.039
8,0.020,-0.027,1.031
9,0.012,-0.043,1.027
10,0.020,-0.039,1.039
11,0.031,-0.035,1.031
12,0.020,-0.027,1.035
13,0.012,-0.023,1.027
14,0.012,-0.043,1.047
15,0.027,-0.043,1.043
16,0.023,-0.039,1.031
17,0.008,-0.031,1.035
18,0.016,-0.027,1.039
19,0.031,-0.039,1.043
20,0.023,-0.035,1.039
21,0.016,-0.027,1.023
22,0.027,-0.035,1.027
23,0.027,-0.043,1.035
24,0.000,-0.031,1.094
25,0.031,-0.020,1.062
26,0.027,-0.039,1.027
27,-0.023,-0.031,1.027
28,0.031,-0.039,1.121
29,0.039,-0.039,1.000
30,0.020,-0.031,1.004
31,0.023,-0.035,1.027
32,0.023,-0.043,1.043
33,0.012,-0.047,1.035
34,0.016,-0.031,1.035
35,0.020,-0.027,1.027
36,0.020,-0.031,1.043
37,0.016,-0.035,1.047
38,0.023,-0.039,1.039
39,0.023,-0.027,1.027
40,0.020,-0.043,1.039
41,0.027,-0.031,1.047
42,0.027,-0.031,1.047
43,0.020,-0.035,1.031
44,0.027,-0.039,1.039
45,0.020,-0.031,1.031
46,0.020,-0.027,1.043
47,0.012,-0.031,1.035
48,0.027,-0.039,1.031
49,0.012,-0.031,1.117
50,0.023,-0.020,1.109
51,0.000,-0.043,1.023
52,-0.004,-0.055,1.027
53,0.051,-0.031,1.113
54,0.012,-0.027,0.988
55,0.008,-0.043,1.008
56,0.012,-0.039,1.027
57,0.035,-0.039,1.035
58,0.023,-0.031,1.043
59,0.016,-0.039,1.039
60,0.016,-0.043,1.039
61,0.027,-0.043,1.039
62,0.023,-0.031,1.039
63,0.016,-0.027,1.035
64,0.016,-0.043,1.023
65,0.020,-0.043,1.031
66,0.023,-0.027,1.043
67,0.012,-0.027,1.039
68,0.012,-0.035,1.039
69,0.020,-0.047,1.043
70,0.035,-0.035,1.035
71,0.023,-0.023,1.035
72,0.000,-0.039,0.992
73,0.008,-0.035,1.129
74,0.043,-0.031,1.023
75,0.016,-0.035,1.070
76,-0.016,-0.047,1.020
77,0.027,-0.043,1.098
78,0.020,-0.047,1.047
79,0.031,-0.027,1.043
80,0.035,-0.020,1.039
81,0.008,-0.035,1.047
82,0.016,-0.043,1.039
83,0.035,-0.035,1.016
84,0.020,-0.023,1.039
85,0.012,-0.047,1.043
86,0.023,-0.043,1.039
87,0.023,-0.039,1.023
88,0.012,-0.027,1.039
89,0.016,-0.027,1.039
90,0.016,-0.027,1.039
91,0.016,-0.047,1.047
92,0.031,-0.043,1.031
93,0.031,-0.023,1.035
94,0.008,-0.027,1.047
95,0.012,-0.047,1.039
96,0.016,-0.039,1.039
97,0.020,-0.027,1.141
98,0.035,-0.004,1.078
99,-0.004,-0.059,1.023
100,0.047,-0.082,1.039
101,0.148,-0.086,1.141
102,0.285,-0.125,1.043
103,0.445,-0.133,1.012
104,0.527,-0.160,1.105
105,0.742,-0.262,1.332
106,0.926,-0.328,1.270
107,0.926,-0.223,1.031
108,1.035,-0.113,1.164
109,1.242,-0.109,1.309
110,1.129,-0.172,1.164
111,0.820,0.004,0.820
112,0.941,0.219,0.770
113,1.211,0.211,0.910
114,0.852,0.121,0.820
115,0.438,0.262,0.535
116,0.625,0.453,0.570
117,0.809,0.340,0.918
118,0.480,0.246,0.953
119,0.227,0.297,0.832
120,0.500,0.395,0.934
121,0.637,0.230,1.285
122,0.215,0.012,1.348
123,0.078,0.074,1.332
124,0.445,0.125,1.086
125,0.480,-0.082,1.293
126,0.133,-0.352,1.637
127,0.023,-0.293,1.352
