Sample,X,Y,Z
0,0.004,0.008,1.023
1,0.016,-0.023,1.023
2,0.031,-0.035,1.078
3,0.008,-0.043,1.039
4,0.004,-0.043,1.004
5,0.027,-0.023,1.023
6,0.031,-0.027,1.055
7,-0.004,-0.043,1.035
8,0.000,-0.035,1.027
9,0.043,-0.023,1.020
10,0.039,-0.035,1.047
11,-0.016,-0.051,1.043
12,0.008,-0.027,1.023
13,0.047,-0.035,1.020
14,0.039,-0.027,1.039
15,-0.004,-0.051,1.043
16,-0.008,-0.059,1.051
17,0.039,-0.012,1.039
18,0.039,-0.012,1.039
19,0.039,-0.023,1.039
20,-0.008,-0.051,1.020
21,-0.016,-0.039,1.035
22,0.047,-0.027,1.043
23,0.047,-0.023,1.035
24,-0.008,-0.039,1.020
25,-0.012,-0.039,1.070
26,0.012,-0.047,1.059
27,0.020,-0.031,1.027
28,0.031,-0.023,1.078
29,0.027,-0.047,1.070
30,0.004,-0.039,0.949
31,0.043,-0.031,1.078
32,0.016,-0.031,1.012
33,0.000,-0.047,1.020
34,0.016,-0.047,1.043
35,0.031,-0.027,1.055
36,0.020,-0.043,1.051
37,0.008,-0.039,1.008
38,0.004,-0.035,1.027
39,0.031,-0.035,1.062
40,0.020,-0.027,1.039
41,0.008,-0.055,1.016
42,0.004,-0.039,1.027
43,0.016,-0.035,1.055
44,0.020,-0.039,1.051
45,0.000,-0.043,1.023
46,0.016,-0.027,1.027
47,0.035,-0.035,1.043
48,0.023,-0.023,1.102
49,-0.027,-0.043,1.016
50,-0.031,-0.051,0.992
51,0.055,-0.035,1.117
52,0.051,-0.023,1.000
53,-0.004,-0.055,0.988
54,0.008,-0.047,0.992
55,0.020,-0.051,1.039
56,0.023,-0.027,1.043
57,0.016,-0.023,1.035
58,0.004,-0.043,1.027
59,0.027,-0.047,1.039
60,0.027,-0.039,1.035
61,0.008,-0.031,1.039
62,0.008,-0.043,1.055
63,0.039,-0.035,1.023
64,0.027,-0.023,1.012
65,0.000,-0.027,1.035
66,0.000,-0.027,1.035
67,0.016,-0.039,1.051
68,0.027,-0.047,1.051
69,0.012,-0.020,1.012
70,0.000,-0.031,1.031
71,0.016,-0.047,1.051
72,0.035,-0.051,1.051
73,0.031,-0.027,1.047
74,-0.035,-0.031,0.957
75,0.008,-0.062,0.992
76,0.039,-0.035,1.125
77,0.039,-0.031,1.070
78,0.004,-0.039,0.984
79,0.020,-0.031,1.027
80,0.020,-0.055,1.066
81,0.020,-0.031,1.051
82,0.016,-0.012,1.020
83,0.016,-0.043,1.020
84,0.012,-0.047,1.043
85,0.008,-0.035,1.043
86,0.012,-0.023,1.031
87,0.012,-0.031,1.031
88,0.008,-0.035,1.039
89,0.008,-0.043,1.047
90,0.023,-0.016,1.055
91,0.004,0.148,1.242
92,0.020,0.508,1.211
93,0.027,0.508,1.137
94,-0.055,0.387,1.305
95,-0.055,0.641,1.371
96,0.027,1.031,1.145
97,-0.008,1.109,0.730
98,-0.160,0.875,0.793
99,-0.070,0.703,1.199
100,-0.055,0.934,1.148
101,-0.004,1.078,0.734
102,-0.137,0.727,0.805
103,-0.219,0.309,1.164
104,-0.199,0.504,1.133
105,-0.070,0.773,0.531
106,-0.012,0.363,0.820
107,-0.113,0.039,1.055
108,-0.066,0.180,1.156
109,0.090,0.473,0.789
110,0.191,0.266,0.988
111,0.078,-0.090,1.336
112,0.043,0.117,1.328
113,0.156,0.555,0.984
114,0.180,0.473,1.059
115,0.109,0.152,1.480
116,0.012,0.258,1.445
117,0.039,0.617,0.871
118,0.090,0.594,0.934
119,0.047,0.418,1.297
120,0.086,0.586,1.090
121,0.008,0.773,0.539
122,0.105,0.656,0.598
123,-0.059,0.465,1.062
124,0.062,0.703,1.082
125,0.020,0.867,0.543
126,-0.043,0.551,0.539
127,-0.105,0.320,1.250
128,0.004,0.770,1.148
129,0.016,0.945,0.723
130,-0.070,0.473,0.883
131,-0.285,0.176,1.559
132,-0.129,0.641,1.461
133,0.039,0.770,0.809
134,-0.070,0.234,1.020
135,-0.262,0.035,1.598
136,-0.172,0.414,1.242
137,0.172,0.574,0.762
138,-0.082,0.238,0.879
139,-0.250,0.160,1.020
140,-0.105,0.188,1.090
141,0.164,0.328,0.984
142,0.141,0.359,0.785
143,0.023,0.227,1.160
144,0.094,0.453,1.055
145,0.246,0.523,0.887
146,0.293,0.363,1.109
147,0.090,0.504,1.469
148,0.180,0.852,0.727
149,0.305,0.645,0.945
150,0.238,0.531,1.219
151,-0.059,0.609,1.273
152,-0.195,0.820,0.965
153,0.129,0.734,0.621
154,0.121,0.293,1.258
155,-0.418,0.418,0.949
156,-0.422,0.656,0.934
157,0.188,0.754,0.836
158,0.094,0.387,1.047
159,-0.344,0.180,1.367
160,-0.574,0.578,0.676
161,-0.031,0.684,0.762
162,0.387,0.266,1.199
163,-0.094,0.031,1.496
164,-0.520,0.586,0.703
165,0.164,0.641,0.895
166,0.164,0.641,0.895
167,0.410,0.238,1.523
168,-0.184,-0.020,1.418
169,-0.484,0.391,0.754
170,0.184,0.734,0.926
171,0.395,0.512,1.207
172,0.047,0.078,1.125
173,-0.168,0.195,1.016
174,0.219,0.711,0.750
175,0.418,0.664,0.785
176,-0.070,-0.012,1.004
177,-0.211,-0.297,0.973
178,0.098,0.152,0.715
179,0.418,0.492,0.988
180,0.109,-0.020,0.945
181,-0.246,-0.645,1.145
182,-0.043,-0.367,1.000
183,0.219,-0.055,1.215
184,0.281,-0.273,1.145
185,-0.203,-0.734,1.074
186,-0.203,-0.734,1.074
187,-0.121,-0.516,1.039
188,0.102,-0.035,1.176
189,0.355,-0.254,1.215
190,-0.172,-0.633,1.523
191,-0.324,-0.223,0.996
192,-0.008,0.168,0.965
193,0.074,-0.086,1.273
194,-0.375,-0.324,0.891
195,-0.223,-0.062,1.012
196,0.191,0.355,0.906
197,0.168,0.195,1.090
198,-0.219,0.156,0.812
199,-0.156,0.184,0.844
200,0.156,0.312,0.922
201,0.199,0.367,0.863
202,-0.066,0.285,0.836
203,-0.098,0.234,0.805
204,0.266,0.203,0.867
205,0.211,0.059,1.309
206,0.012,0.059,1.020
207,0.125,0.059,0.898
208,0.203,0.020,1.160
209,0.137,-0.035,1.340
210,0.137,-0.035,1.340
211,-0.066,-0.207,1.391
212,0.008,-0.258,0.945
213,0.133,-0.207,1.012
214,0.180,-0.211,1.195
215,-0.332,-0.355,0.859
216,-0.227,-0.520,1.098
217,0.184,-0.348,1.051
218,0.117,-0.176,0.848
219,-0.008,-0.199,1.125
220,-0.082,-0.254,1.016
221,-0.156,-0.270,1.105
222,-0.133,-0.109,1.066
223,0.039,0.047,0.859
224,-0.008,0.137,1.004
225,-0.098,0.172,0.730
226,-0.074,0.055,1.262
227,0.039,0.121,1.230
228,0.047,0.254,1.016
229,0.145,0.332,1.008
230,0.102,0.090,1.090
231,0.086,0.055,1.145
232,-0.094,0.375,0.844
233,0.008,0.324,0.574
234,0.008,0.324,0.574
235,0.332,-0.039,1.086
236,-0.027,-0.211,1.062
237,-0.098,-0.027,0.898
238,-0.043,0.070,0.973
239,0.199,-0.156,1.137
240,0.102,-0.395,0.879
241,0.230,-0.398,1.422
242,0.066,0.016,0.957
243,0.070,0.008,0.867
244,0.125,-0.441,1.090
245,-0.137,-0.527,1.141
246,-0.082,-0.090,0.965
247,0.188,0.074,1.273
248,-0.043,-0.176,0.898
249,-0.312,-0.371,1.191
250,-0.055,-0.023,1.344
251,0.035,0.262,0.945
252,0.000,-0.031,1.000
253,-0.180,-0.172,1.023
254,-0.219,0.191,0.770
255,0.102,0.383,1.109
256,0.121,0.250,0.695
257,-0.238,-0.211,0.855
258,-0.070,-0.062,1.023
259,0.027,0.328,1.145
260,0.176,0.441,0.754
261,-0.035,-0.047,0.891
262,-0.035,-0.047,0.891
263,-0.082,-0.363,1.195
264,0.227,0.031,1.473
265,0.344,0.477,0.863
266,0.172,-0.008,0.816
267,-0.094,-0.438,1.238
268,0.004,-0.141,1.016
269,0.227,0.113,1.121
270,0.137,0.000,1.012
271,0.043,-0.410,0.988
272,-0.090,-0.426,1.246
273,0.031,-0.039,1.402
274,0.094,0.105,0.797
275,-0.059,-0.324,0.793
276,-0.168,-0.438,0.930
277,0.039,-0.125,1.254
278,0.160,0.227,0.637
279,-0.008,-0.020,0.883
280,-0.137,-0.281,1.195
281,0.000,-0.199,1.430
282,0.000,-0.199,1.430
283,-0.090,0.055,1.008
284,-0.227,0.215,0.812
285,-0.098,0.031,0.934
286,0.152,-0.137,1.504
287,0.062,0.191,1.207
288,-0.273,0.375,0.324
289,-0.094,-0.113,1.078
290,0.309,-0.164,1.516
291,0.148,0.168,0.871
292,-0.219,0.246,0.570
293,0.027,-0.051,0.961
294,0.332,-0.168,1.676
295,0.176,0.125,1.125
296,-0.230,0.207,0.441
297,-0.168,-0.020,0.641
298,0.398,-0.199,1.547
299,0.086,-0.047,1.293
300,-0.160,0.215,0.434
301,-0.051,-0.094,0.777
302,0.477,-0.297,1.566
303,0.238,-0.102,1.500
304,-0.262,0.211,0.418
305,-0.129,-0.152,0.680
306,0.297,-0.488,1.754
307,0.016,-0.191,1.184
308,-0.301,0.230,0.574
309,-0.027,0.121,0.676
310,-0.027,0.121,0.676
311,0.270,-0.480,1.492
312,-0.176,-0.402,1.332
313,-0.527,0.113,0.664
314,0.000,0.258,0.730
315,0.422,-0.320,1.445
316,-0.184,-0.418,1.340
317,-0.414,0.133,0.965
318,0.102,0.602,0.551
319,0.480,-0.125,1.234
320,-0.164,-0.430,1.457
321,-0.531,0.250,0.730
322,0.250,0.551,0.664
323,0.422,-0.059,1.055
324,0.020,-0.449,1.422
325,-0.277,0.098,1.062
326,0.262,0.484,0.582
327,0.410,0.090,1.055
328,0.113,-0.422,1.305
329,-0.250,0.027,1.117
330,0.316,0.281,0.797
331,0.234,0.047,0.758
332,0.043,-0.277,1.375
333,-0.113,-0.090,1.090
334,-0.059,0.031,0.711
335,0.125,-0.098,1.242
336,0.000,-0.141,1.215
337,-0.020,-0.188,0.949
338,-0.305,-0.121,1.090
339,0.016,0.031,0.992
340,0.020,-0.160,1.277
341,0.133,-0.145,1.000
342,-0.359,-0.012,0.660
343,-0.027,0.023,1.148
344,0.066,-0.145,1.082
345,-0.148,-0.242,1.016
346,-0.164,0.039,0.906
347,0.086,0.047,0.840
348,0.000,-0.246,1.262
349,0.020,-0.090,1.172
350,-0.078,0.223,0.926
351,0.266,0.109,1.109
352,0.223,-0.141,1.133
353,-0.113,-0.074,1.148
354,0.086,0.293,1.062
355,0.133,0.297,0.723
356,0.156,-0.234,0.934
357,-0.023,-0.262,1.332
358,-0.074,0.160,1.094
359,0.211,0.320,0.684
360,0.172,-0.145,0.812
361,-0.129,-0.445,1.473
362,-0.141,0.137,1.016
363,0.297,0.316,0.602
364,0.199,-0.188,1.121
365,-0.242,-0.359,1.168
366,-0.172,-0.008,1.066
367,-0.004,0.047,0.727
368,0.180,-0.211,1.062
369,-0.188,-0.309,1.117
370,0.125,-0.215,1.238
371,0.027,0.020,1.086
372,-0.059,-0.023,1.035
373,-0.113,-0.160,1.242
374,-0.160,-0.121,1.094
375,-0.090,0.090,0.547
376,0.035,0.035,1.367
377,0.027,0.102,0.887
378,-0.070,-0.102,1.109
379,-0.191,0.090,0.766
380,0.082,0.059,1.098
381,0.164,0.023,1.137
382,0.094,-0.078,1.090
383,0.047,0.066,0.938
384,0.113,0.164,1.195
385,0.164,0.156,0.809
386,0.000,-0.074,1.109
387,-0.141,-0.035,0.715
388,0.113,0.086,1.145
389,0.176,0.168,0.809
390,0.090,-0.148,1.098
391,-0.211,-0.234,1.234
392,0.121,-0.129,1.297
393,0.309,-0.066,1.086
394,0.121,-0.191,0.773
395,-0.148,-0.281,1.133
396,-0.086,-0.082,1.121
397,0.160,-0.008,0.664
398,0.039,-0.086,1.004
399,-0.164,-0.098,1.172
400,0.051,-0.066,1.266
401,0.082,-0.043,0.906
402,-0.105,-0.059,0.816
403,-0.152,-0.051,1.078
404,-0.211,0.000,1.254
405,0.016,0.082,0.711
406,0.102,-0.160,1.336
407,-0.066,0.027,0.934
408,0.062,0.105,1.250
409,-0.004,0.105,0.945
410,-0.082,-0.105,1.094
411,0.027,-0.008,1.020
412,-0.004,0.047,1.195
413,0.160,0.152,0.820
414,0.168,-0.047,1.203
415,0.000,-0.035,0.859
416,-0.078,-0.090,1.059
417,0.164,0.031,1.016
418,0.234,0.004,1.055
419,0.090,-0.223,0.871
420,-0.035,-0.254,1.316
421,-0.004,0.066,0.730
422,0.191,0.051,1.266
423,-0.059,-0.098,0.770
424,-0.047,-0.344,1.281
425,0.160,-0.047,1.066
426,0.109,0.219,0.844
427,-0.023,0.055,0.926
428,-0.141,-0.270,1.113
429,-0.078,-0.203,1.125
430,0.035,0.070,1.008
431,0.082,0.152,0.898
432,-0.109,-0.027,0.785
433,-0.168,-0.219,1.309
434,-0.168,0.090,1.000
435,0.172,0.172,1.090
436,0.117,0.059,1.020
437,-0.152,-0.164,1.234
438,-0.230,0.074,0.977
439,-0.043,0.238,0.953
440,0.195,0.051,0.934
441,0.148,-0.180,1.168
442,-0.180,-0.070,1.332
443,0.090,0.113,0.766
444,0.148,-0.078,0.879
445,-0.051,-0.305,1.059
446,0.125,-0.266,1.246
447,0.105,-0.062,0.953
448,0.191,0.051,0.961
449,0.004,-0.031,0.859
450,-0.078,-0.207,1.117
451,0.105,-0.133,1.160
452,0.211,0.062,0.914
453,-0.027,0.035,0.836
454,-0.004,-0.145,1.156
455,0.047,-0.094,1.020
456,0.094,0.055,1.105
457,-0.047,0.004,0.945
458,0.008,-0.141,1.109
459,-0.020,-0.020,1.031
460,0.051,0.156,0.938
461,-0.199,0.113,0.762
462,-0.164,-0.133,1.434
463,0.199,0.039,1.148
464,-0.023,0.035,1.051
465,-0.402,0.191,0.715
466,-0.227,-0.039,1.328
467,0.203,-0.133,1.258
468,0.055,-0.031,0.961
469,-0.059,0.148,0.625
470,-0.031,-0.027,1.234
471,0.156,-0.105,1.043
472,0.172,-0.141,0.672
473,0.070,-0.301,1.262
474,0.070,-0.031,0.848
475,0.215,0.004,1.020
476,-0.023,-0.125,1.137
477,0.035,-0.102,0.969
478,0.145,-0.102,1.074
479,0.352,-0.059,1.398
480,0.090,0.145,0.797
481,-0.141,-0.027,0.797
482,-0.109,-0.168,1.184
483,0.117,-0.094,1.039
484,0.258,0.023,1.078
485,-0.148,0.066,0.902
486,-0.258,0.047,0.898
487,-0.062,-0.070,1.125
488,0.105,-0.141,1.340
489,0.086,0.039,0.934
490,-0.258,0.043,0.984
491,-0.215,0.125,0.941
492,0.000,-0.016,1.277
493,0.004,0.016,0.879
494,0.020,0.016,1.086
495,-0.105,0.105,0.992
496,-0.152,0.008,1.113
497,0.008,-0.047,0.879
498,0.008,-0.047,0.879
499,0.145,-0.207,1.258
500,0.055,-0.078,1.168
501,0.051,-0.027,0.812
502,-0.051,-0.094,0.922
503,0.062,-0.129,1.105
504,0.164,-0.109,1.023
505,0.242,-0.035,0.992
506,0.074,-0.035,0.910
507,-0.102,-0.039,0.957
508,0.082,-0.066,1.137
509,0.371,-0.094,1.098
510,0.117,-0.066,1.156
511,0.059,0.195,0.883
512,-0.164,0.047,0.672
513,-0.090,-0.215,1.262
514,0.133,-0.078,1.285
515,-0.035,0.105,0.695
516,-0.254,0.023,0.793
517,-0.090,-0.086,1.496
518,0.051,-0.086,1.109
519,0.148,-0.078,0.836
520,-0.207,-0.078,1.293
521,-0.125,0.059,0.957
522,-0.098,-0.125,1.352
523,0.074,-0.109,0.969
524,-0.012,-0.031,0.824
525,-0.203,0.031,0.953
526,-0.070,0.035,1.000
527,0.031,-0.062,0.969
528,0.152,-0.125,0.984
529,0.164,-0.098,0.980
530,0.105,-0.020,1.039
531,0.039,0.043,1.020
532,0.223,-0.016,1.035
533,0.141,-0.062,1.051
534,0.016,0.082,1.098
535,0.090,0.250,0.840
536,-0.023,-0.027,0.730
537,0.121,-0.312,1.637
538,0.340,0.020,1.234
539,0.043,0.145,0.879
540,-0.250,0.027,0.691
541,-0.102,-0.305,1.512
542,0.168,-0.125,1.121
543,0.113,0.059,0.754
544,-0.273,0.059,0.590
545,-0.359,-0.348,1.500
546,0.293,-0.133,1.238
547,0.281,0.051,0.824
548,-0.371,0.141,0.328
549,-0.434,-0.195,1.328
550,0.312,-0.230,1.215
551,0.398,-0.070,1.031
552,-0.004,0.145,0.660
553,-0.438,-0.086,1.180
554,-0.035,-0.180,1.336
555,0.398,-0.031,1.211
556,-0.004,0.258,0.719
557,-0.336,0.141,0.832
558,-0.062,-0.137,1.258
559,0.230,-0.199,1.320
560,0.289,0.086,1.074
561,-0.141,0.148,0.879
562,-0.211,-0.035,1.020
563,0.133,-0.176,1.449
