Sample,X,Y,Z
0,0.031,-0.027,1.047
1,0.020,-0.047,1.047
2,0.016,-0.047,1.031
3,0.027,-0.031,1.031
4,0.027,-0.027,1.039
5,0.023,-0.031,1.047
6,0.012,-0.031,1.023
7,0.020,-0.031,1.035
8,0.016,-0.031,1.039
9,0.031,-0.031,1.051
10,0.020,-0.031,1.039
11,0.008,-0.031,1.016
12,0.020,-0.047,1.066
13,0.027,-0.031,1.023
14,0.016,-0.039,1.051
15,0.016,-0.031,1.012
16,0.012,-0.031,1.039
17,0.020,-0.035,1.039
18,0.031,-0.039,1.055
19,0.016,-0.035,1.023
20,0.012,-0.031,1.016
21,0.020,-0.043,1.059
22,0.027,-0.035,1.043
23,0.020,-0.027,1.012
24,0.008,-0.023,1.039
25,0.035,-0.062,1.055
26,-0.004,-0.039,1.039
27,0.070,-0.020,1.035
28,0.039,-0.035,0.980
29,0.000,-0.062,1.023
30,0.023,-0.035,1.043
31,0.023,-0.031,1.027
32,0.023,-0.031,1.031
33,0.020,-0.035,1.027
34,0.016,-0.043,1.043
35,0.023,-0.035,1.047
36,0.023,-0.023,1.027
37,0.008,-0.031,1.027
38,0.016,-0.043,1.047
39,0.027,-0.039,1.062
40,0.023,-0.027,1.031
41,0.020,-0.035,1.031
42,0.020,-0.035,1.031
43,0.008,-0.047,1.039
44,0.023,-0.039,1.055
45,0.023,-0.027,1.020
46,0.012,-0.031,1.039
47,0.016,-0.027,1.012
48,0.027,-0.043,1.047
49,0.020,-0.039,1.086
50,0.051,-0.016,1.109
51,0.020,-0.043,1.012
52,0.023,-0.051,1.055
53,0.023,-0.031,1.133
54,0.016,-0.039,0.980
55,0.016,-0.035,1.035
56,0.012,-0.035,1.035
57,0.016,-0.039,1.047
58,0.027,-0.020,1.020
59,0.027,-0.031,1.039
60,0.016,-0.039,1.027
61,0.027,-0.039,1.043
62,0.023,-0.023,1.023
63,0.016,-0.035,1.047
64,0.023,-0.047,1.039
65,0.035,-0.031,1.031
66,0.004,-0.023,1.031
67,0.023,-0.039,1.031
68,0.027,-0.047,1.055
69,0.023,-0.023,1.043
70,0.008,-0.027,1.031
71,0.016,-0.039,1.012
72,0.086,-0.043,1.020
73,0.070,-0.043,1.074
74,-0.016,-0.035,0.992
75,0.023,-0.035,1.109
76,0.039,-0.043,0.988
77,0.039,-0.031,1.012
78,0.004,-0.020,1.062
79,0.008,-0.023,1.039
80,0.020,-0.047,1.016
81,0.031,-0.039,1.035
82,0.023,-0.020,1.059
83,0.004,-0.031,1.023
84,0.012,-0.051,1.031
85,0.035,-0.035,1.012
86,0.027,-0.020,1.066
87,0.000,-0.023,1.031
88,0.004,-0.047,1.027
89,0.023,-0.043,1.023
90,0.039,-0.027,1.043
91,0.012,-0.020,1.059
92,0.004,-0.043,1.020
93,0.031,-0.059,1.039
94,0.039,-0.035,1.039
95,0.023,-0.020,1.047
96,-0.016,-0.043,1.090
97,0.027,-0.016,1.078
98,0.023,-0.051,1.035
99,0.008,-0.035,1.082
100,0.023,-0.023,1.113
101,0.082,-0.078,0.984
102,0.137,-0.098,1.090
103,0.035,-0.039,0.996
104,-0.027,-0.023,1.016
105,0.176,-0.113,1.113
106,0.379,-0.176,1.168
107,0.305,-0.082,1.043
108,0.285,0.059,1.148
109,0.285,0.020,0.992
110,0.438,-0.312,1.250
111,0.598,-0.203,1.160
112,0.613,0.133,0.965
113,0.434,0.066,0.930
114,0.434,-0.266,1.203
115,0.680,-0.180,1.156
116,0.711,0.215,0.785
117,0.527,0.195,0.773
118,0.438,-0.152,1.051
119,0.543,-0.098,1.012
120,0.637,0.262,0.734
121,0.648,0.242,0.867
122,0.508,-0.055,1.113
123,0.363,0.020,0.902
124,0.637,0.289,0.832
125,0.668,0.184,0.984
126,0.309,-0.086,1.211
127,0.273,-0.059,1.184
128,0.648,0.113,1.086
129,0.637,0.094,1.168
130,0.242,-0.074,1.207
131,0.289,-0.109,1.242
132,0.586,-0.047,1.156
133,0.598,-0.031,1.156
134,0.262,-0.074,0.961
135,0.320,-0.164,1.016
136,0.578,-0.195,1.008
137,0.590,-0.102,1.039
