Sample,X,Y,Z
0,0.012,0.223,1.078
1,0.023,-0.039,1.027
2,0.027,-0.043,1.031
3,0.020,-0.043,1.051
4,0.020,-0.043,1.062
5,0.020,-0.035,1.020
6,0.031,-0.039,1.020
7,0.027,-0.047,1.051
8,0.016,-0.039,1.066
9,0.027,-0.039,1.023
10,0.035,-0.039,1.016
11,0.020,-0.031,1.043
12,0.016,-0.051,1.070
13,0.020,-0.035,1.027
14,0.031,-0.039,1.016
15,0.031,-0.035,1.031
16,0.016,-0.039,1.078
17,0.004,-0.047,1.047
18,0.027,-0.051,1.031
19,0.039,-0.035,1.020
20,0.012,-0.039,1.051
21,0.004,-0.059,1.059
22,0.031,-0.039,1.012
23,0.031,-0.035,1.027
24,0.066,-0.039,1.012
25,0.039,-0.039,1.086
26,0.012,-0.047,0.992
27,-0.004,-0.035,0.988
28,0.059,-0.035,1.016
29,0.035,-0.031,1.074
30,0.027,-0.047,1.016
31,0.035,-0.031,1.016
32,0.027,-0.027,1.020
33,0.020,-0.043,1.062
34,0.020,-0.047,1.062
35,0.020,-0.035,1.035
36,0.020,-0.027,1.008
37,0.027,-0.043,1.039
38,0.027,-0.055,1.074
39,0.027,-0.043,1.027
40,0.023,-0.027,1.023
41,0.016,-0.035,1.039
42,0.016,-0.047,1.062
43,0.020,-0.059,1.047
44,0.031,-0.027,1.004
45,0.023,-0.023,1.031
46,0.016,-0.035,1.070
47,0.020,-0.051,1.047
48,-0.008,-0.043,1.102
49,0.051,0.004,1.051
50,0.031,-0.039,1.070
51,-0.043,-0.066,1.035
52,-0.004,-0.055,1.027
53,0.047,-0.016,1.129
54,0.031,-0.039,1.043
55,0.016,-0.051,1.047
56,0.016,-0.047,1.047
57,0.035,-0.020,1.031
58,0.027,-0.027,1.047
59,0.016,-0.059,1.066
60,0.027,-0.059,1.031
61,0.035,-0.027,1.027
62,0.027,-0.035,1.043
63,0.008,-0.051,1.051
64,0.023,-0.055,1.039
65,0.035,-0.031,1.027
66,0.027,-0.027,1.039
67,0.000,-0.047,1.055
68,0.023,-0.055,1.035
69,0.047,-0.027,1.023
70,0.023,-0.027,1.023
71,0.004,-0.047,1.051
72,0.031,-0.039,1.121
73,0.047,-0.012,1.070
74,0.055,-0.020,1.043
75,-0.047,-0.051,1.059
76,0.035,-0.066,1.016
77,0.066,-0.039,1.117
78,0.027,-0.020,1.012
79,0.016,-0.039,1.051
80,0.031,-0.070,1.090
81,0.031,-0.035,1.035
82,0.023,-0.023,0.984
83,0.016,-0.047,1.055
84,0.031,-0.051,1.074
85,0.031,-0.051,1.066
86,0.027,-0.020,1.004
87,0.020,-0.023,1.008
88,0.020,-0.059,1.078
89,0.023,-0.055,1.070
90,0.020,-0.031,1.023
91,0.027,-0.027,0.996
92,0.051,-0.062,1.105
93,0.004,-0.055,1.082
94,0.023,-0.012,0.941
95,0.137,0.008,0.914
96,0.207,-0.086,1.082
97,0.195,-0.133,1.371
98,0.258,-0.109,1.156
99,0.258,-0.125,0.863
100,0.473,-0.203,1.074
101,0.648,-0.258,1.430
102,0.508,-0.043,1.156
103,0.410,0.047,0.715
104,0.613,-0.184,1.113
105,0.684,-0.180,1.320
106,0.500,0.059,0.914
107,0.418,0.078,0.734
108,0.602,-0.059,1.016
109,0.594,-0.016,1.184
110,0.316,0.289,0.652
111,0.340,0.219,0.684
112,0.734,-0.055,1.109
113,0.711,0.004,1.219
114,0.219,0.348,0.840
115,0.340,0.285,0.801
116,0.953,-0.160,1.383
117,0.812,-0.082,1.375
118,0.184,0.367,0.793
119,0.328,0.191,0.891
120,0.867,-0.336,1.574
121,0.684,-0.262,1.555
122,0.176,0.230,0.668
123,0.445,0.055,0.809
124,0.855,-0.477,1.434
125,0.520,-0.406,1.371
126,0.113,0.141,0.445
127,0.461,0.117,0.500
128,0.766,-0.445,1.309
129,0.457,-0.469,1.457
130,0.227,0.070,0.559
131,0.652,0.133,0.617
132,0.883,-0.293,1.418
133,0.527,-0.293,1.562
134,0.332,0.211,0.723
135,0.695,0.246,0.738
136,0.977,-0.094,1.383
137,0.738,-0.207,1.535
138,0.383,0.289,0.738
139,0.512,0.410,0.660
140,0.824,0.027,1.301
141,0.750,-0.168,1.402
142,0.750,-0.168,1.402
143,0.496,0.172,0.910
144,0.355,0.516,0.363
145,0.539,0.133,1.082
146,0.707,-0.195,1.422
147,0.723,-0.055,1.004
148,0.316,0.402,0.375
149,0.289,0.184,0.969
150,0.586,-0.211,1.352
151,0.707,-0.328,1.336
152,0.309,0.117,0.664
153,0.156,0.078,0.945
154,0.695,-0.332,1.547
155,0.863,-0.477,1.426
156,0.266,-0.137,0.910
157,0.105,0.059,0.898
158,0.797,-0.250,1.391
159,1.051,-0.395,1.387
160,0.344,-0.105,0.855
161,0.098,0.137,0.613
162,0.723,-0.145,1.168
163,0.969,-0.227,1.332
164,0.324,0.133,0.500
165,0.227,0.160,0.719
166,0.227,0.160,0.719
167,0.824,0.129,1.055
168,0.656,-0.043,1.109
169,0.344,0.121,0.820
170,0.523,0.266,0.992
171,0.938,0.152,1.328
172,0.711,0.121,0.906
173,0.086,0.016,1.164
174,0.414,0.246,1.312
175,0.898,0.215,1.215
176,0.730,-0.066,1.066
177,0.152,-0.074,0.910
178,0.160,-0.137,1.473
179,0.555,0.078,1.211
180,0.520,-0.105,0.891
181,0.203,-0.379,1.082
182,0.137,-0.117,1.051
183,0.328,0.078,0.875
184,0.266,-0.066,0.590
185,0.090,-0.293,0.840
186,0.145,-0.188,0.973
187,0.352,-0.016,1.098
188,0.410,-0.039,0.941
189,0.195,-0.297,1.078
190,-0.035,-0.191,1.133
191,0.301,0.098,1.105
192,0.375,0.027,1.141
193,0.086,-0.203,1.242
194,-0.098,-0.129,1.312
195,0.039,0.250,1.121
196,0.336,0.148,1.094
197,0.113,-0.172,1.180
198,-0.215,-0.039,1.035
